Id_wisata,Nama Wisata,Deskripsi,Jenis Wisata,Lokasi,Ratings,TAG,Harga Tiket,Images
21,Gifta Garden,"Gifta Garden dikelilingi bangunan restoran berbentuk lamin, sepanjang perjalanan di sisi kanan-kiri lahan berwarna hijau itu ditanami aneka pohon, buah, serta bunga. Membuat pengunjung diajak lebih dekat dengan alam terbuka. Sekaligus mendapat edukasi, dengan mengenal flora dan fauna.  Gifta Garden banyak wahana-wahana yang ditawarkan ke pengunjung antara lain pertama ada restoran dengan makanan yang sederhana seperti soto, pecel, rawon dan sebagainya. Kemudian di sana ada pengembangbiakan tanaman hidroponik selada, sawi, kangkung dan lain sebagainya.",Wisata Buatan,Kota Balikpapan,4.3,Agrowisata,50000,Gifta Garden.png
22,Masjid Islamic Center Balikpapan,"Masjid Islamic Center Balikpapan. Masjid ini juga dikenal sebagai Masjid Madinatul Iman. Tak dapat dipungkiri, ini masjid terbaru, terbesar, dan termegah di Balikpapan, mengalahkan masjid termegah sebelumnya, Masjid Agung At Taqwa. Masjid berlokasi di Jl. Belibis Raya, Gn Bahagia, Balikpapan Selatan, berjarak sekitar 12 km dari pusat kota, arah Timur Laut.",Wisata Religi,Kota Balikpapan,4.8,Tempat Ibadah,Gratis,MICB.png
23,Mahavihara Buddha Manggala,"Berwisata ke Mahavihara Buddha manggala seperti berlibur ke Thailand. Terdapat patung gajah putih dan patung Budda tertidur. Sementara di sisi lain, terdapat patung Kinara Kinari, stupa seperti yang ada di Candi Borobudur, dan lain sebagainya Lokasinya berada di pusat kota Batu Ampar Balikpapan. Namun, lantaran tempat ini masih digunakan sebagai peribadatan, sebaiknya siapapun yang berkunjung harus mentaati dan menghormati peraturan yang ada di dalamnya. ",Wisata Religi,Kota Balikpapan,4.6,Tempat Ibadah,Gratis,MBM.png
24,Masjid Jami Al'Ula,"Masjid ini berlokasi di Jalan Letjen Suprapto RT 15 No 1 Kelurahan Baru Ulu Balikpapan Barat. Berada di kawasan pemukiman yang didiami mayoritas warga Bugis – Makassar. Masjid ini sebagai tonggak sejarah penyebaran agama Islam di Balikpapan. Seperti namanya, ""Ula"" berarti pertama atau awal. Ia merupakan bangunan pertama tempat ibadah umat Islam di Balikpapan.",Wisata Religi,Kota Balikpapan,4.8,Tempat Ibadah,Gratis,Al Ula.png
25,Masjid Agung At - Taqwa,"Masjid ini adalah salah satu masjid termegah di Kalimantan Timur. Kompleks masjid terdiri dari tiga lantai. Di Lantai 2 terdapat bangunan utama seluas 5.268 m2 dengan kapasitas tak kurang dari 4 ribu orang. Sedangkan bangunan penunjang seluas 4.426 m2.
Pada lantai dasar, bangunan utama seluas 2.004 m2, terdapat tempat penitipan barang dan tempat wudhu. Ada juga aula dan panggung yang kerap digunakan sebagai resepsi akad nikah. Lantai dasar dapat menampung 800 jamaah.
Lantai 2 adalah lantai utama masjid. Ruang imam, perpustakan dan gudang peralatan tersedia. Dengan luas 1.632 m2, lantai utama dapat menampung seribu orang. Pada lantai 3 terdapat void dengan desain dan perpaduan warna yang sangat menarik. Selain itu terdapat perpustakaan dan ruang untuk pengajar TK-TPA At-Taqwa. Lantai ini dapat menampung tidak lebih 700 jama’ah. ",Wisata Religi,Kota Balikpapan,4.8,Tempat Ibadah,Gratis,Attaqwa.png
26,Masjid Istiqomah,"Mesjid Itiqomah memiliki daya tarik tersendiri Antara lain studio radio dakwah IDC FM, perpustakaan, guest house hingga pusat pendidikan agama Islam. Masjid ini terletak sangat strategis yaitu hanya beberapa meter dari Lapangan Merdeka yang menjadi salah satu pusat kegiatan masyarakat Balikpapan. Masjid ini juga dikelilingi lokasi wisata menarik seperti Pantai Kemala, Pantai Kilang Mandiri, dan Tugu Australia.",Wisata Religi,Kota Balikpapan,4.9,Tempat Ibadah,Gratis,Istqamah.png
27,Masjid Ceng Ho,"Keberadaan Masjid Muhammad Cheng Hoo yang tepat berada di pintu masuk Pantai Lamaru , tanpa disadari kehadirannya dianggap menjadi destinasi wisata religi. Konsep design yang unik, banyak dijadikan spot selfie oleh warga, baik selepas menunaikan salat maupun saat akan berkunjung ke Pantai Lamaru. Dengan desain yang bagus, dengan konsep China, sehingga dapat di katakan mesjid ini  menjadi salah satu destinasi tambahan wisata religi yang terdapat di Kota Balikpapan",Wisata Religi,Kota Balikpapan,4.5,Tempat Ibadah,Gratis,Masjid Cengho.png
28,Pondok Pesantren Hidayatullah,"Hidayatullah awalnya sebuah pondok pesantren yang berdiri di atas lahan wakaf seluas 120 hektar di Gunung Tembak, Balikpapan, Kalimantan Timur. Hidayatullah ini didirikan oleh Ust Abdullah Said ",Wisata Religi,Kota Balikpapan,4.5,Tempat Ibadah,Gratis,Ps Hidayatullah.png
29,Vihara Eka Dharma Manggala,"Wisata religi di Vihara Eka Dharma Manggala Kendari, bisa melihat panorama Teluk Kendari dari ketinggian.
Dari tempat peribadatan umat Budha ini, dapat saksikan Teluk Kendari yang membentang luas dengan pemandangan aktivitas kapal yang melintas.
Bangunan Vihara itu berhadapan langsung ke Teluk Kendari.",Wisata Religi,Kota Balikpapan,4.8,Tempat Ibadah,Gratis,Vihara Eka Dharma.png
30,Vihara Buddha Maitreya,"Berada di lantai III dengan ukuran 96 x 38 meter, merupakan gedung Baktisala Maitreya sekaligus ruang bakti puja utama yang berkapasitas 2.500 orang. Saat Anda melihat Pratima Buddha Maitreya setinggi 6,8 meter yang penuh tawa ria, terasa seisi ruangan penuh dengan hawa kedamaian, kebahagiaan, dan kesukacitaan, serta akan merasakan betapa manusia itu amat kecil dan papa dihadapan Buddha Maitreya yang Maha Suci dan Sempurna.",Wisata Religi,Kota Balikpapan,4.8,Tempat Ibadah,Gratis,Vihara Budha Maitreya.png
31,Klenteng Guang De Miao,"Kelenteng Guang De Miao terletak di Jl. Bukit Niaga, Klandasan Ilir, Balikpapan Selatan, atau lebih mudahnya terletak di daerah Pasar Baru Balikpapan. Kelenteng Guang De Miao sendiri dapat dikatakan sangat bersejarah, kelenteng tersebut sudah berdiri pada tahun 1915, yang mana saat ini sudah berusia 106 tahun. ",Wisata Religi,Kota Balikpapan,4.8,Tempat Ibadah,Gratis,Klenteng.png
32,Gereja Katolik Santa Maria,"Gereja Katolik Santa Maria merupakan salah satu gereja Katolik di Kota Balikpapan. Gereja bagi persekutuan jemaat katolik ini menyediakan tempat ibadah untuk ibadah rutin minggu pagi - sore, ibadah misa, Paskah, kamis putih, baptis (pembaptisan), Natal hingga Jumat Agung.
Gereja Katolik Santa Maria memiliki ciri khas bangunan yang sejuk dengan sejarah gereja katolik di Kota Balikpapan yang kuat sehingga menjadi tempat ibadah bagi ummat katolik Kota Balikpapan.",Wisata Religi,Kota Balikpapan,4.6,Tempat Ibadah,Gratis,Gereja Katolik Santa Maria.png
33,Pantai Manggar Segara Saru,"Pantai Manggar Segara Sari memilikii banyak daya tarik dengan estimasi keindahan hamparan laut beserta pasir putihnya membuat pengunjung menjadi betah untuk berlama-lama di tempat ini. Oleh karenanya jika waktu liburan tiba maka bisa dipastikan jika ribuan orang berbondong-bondong untuk berlibur kesana.
Selain itu, daya tarik lain yang dimiliki oleh Pantai Segara Sari juga cukup banyak sehingga sangat direkomendasikan bagi Anda untuk menyempatkan waktu pergi ke tempat ini. Juga dengan pemandangan air laut yang jernih dan bersih. Gelombangnya pun bisa dikatakan sedang-sedang saja jadi tidak membahayakan jika didekati. Dengan begitu semua pengunjungnya bisa merasakan sensasi bermain air laut di bibir Pantai.",Wisata Bahari,Kota Balikpapan,4.2,Pantai,7000,Pantai Manggar Segara Sari.png
34,Pantai Lamaru,"Pantai initerletak di Desa Teritip, tepatnya di Jalan Mulawarman, Lamaru ini ternyata memiliki pesona yang sangat mengagumkan. Pantai Lamaru merupakan salah satu Pantai yang landai sehingga anda pun akan lebih nyaman untuk berwisata ke Pantai satu ini. Tak hanya itu saja, pasir putih yang terdapat di Pantai satu ini pun juga dapat menjadi daya tarik tersendiri bagi wisatawan. Sehingga dengan adanya bibir Pantai yang luas tersebut akan bisa dimanfaatkan untuk berbagai aktifitas Pantai yang lain. Sebut saja seperi untuk bermain voli Pantai, bermain bola ataupun bermain pasir dan membuat istana pasir. Pastinya hal tersebut akan membuat liburan anda bersama keluarga semakin berkesan dengan berwisata di Pantai Lamaru ini.",Wisata Bahari,Kota Balikpapan,4.4,Pantai,20000,Pantai Lamaru.png
35,Pantai Monpera,"Pantai monpera adalah salah satu Pantai yang cukup populer di wilayah Balikpapan. Pantai ini memiliki daya tarik dan cerita tersendiri bagi masyarakat di Balikpapan. Di Pantai ini terdapat Tugu Peringatan yang biasa disebut Monumen Perjuangan Rakyat (Monpera). Pantai Monpera menawarkan pemandangan berupa hamparan pasir Pantai yang berwarna kecoklatan, berpadu dengan indahnya panorama alam sekitar Pantai.",Wisata Bahari,Kota Balikpapan,4.3,Pantai,3000,Pantai Monpera.png
36,Pantai Kemala,"Pantai dengan panorama dekat pusat kota, yang memiliki air laut warna biru dan terlihat  fresh. Disamping itu, ada panorama berbentuk beberapa kapal tanker besar yang berlalu lalang membawa muatan. Anda juga dapat menyaksikan kapal tanker itu bila kapal itu sedang melalui lautan walaupun anda hanya  di teritori Pantai.",Wisata Bahari,Kota Balikpapan,4.3,Pantai,5000,Pantai Kemala.png
37,Pantai Kilang Pertamina,"Pantai Kilang Pertamina terletak di Jalan Jenderal Sudirman. Pemandangannya yang indah menjadi daya tarik utama Pantai ini.  Begitu memasuki kawasan Pantai, maka akan disambut dengan deretan payung etnik dan bean bag berwarna-warni yang berjajar rapi di atas pasir putih. Ketika hari beranjak senja, lampu-lampu hias di Pantai akan mulai dinyalakan. Suasana Pantai pun menjadi semakin romantis dan menyenangkan. Sambil menikmati semilir angin laut dan debur ombak sambil menyantap aneka kuliner yang dijual di Pantai ini. Fasilitas di Pantai ini juga sudah cukup lengkap, mulai dari toilet umum sampai lahan parkir.",Wisata Bahari,Kota Balikpapan,4.5,Pantai,5000,Pantai Kilang Pertamina.png
38,Pantai Seraya,"Pantai seraya terletak di RT 28, Kelurahan Sepinggan Raya, Kecamatan Balikpapan Selatan. Fasilitas yang ada di kawasan wisata Pantai Seraya ini tersedia puluhan perahu kayu yang dapat disewa oleh pengunjung. Selain itu, di kawasan Pantai seraya ini juga tersedia sejumlah kuliner.
Di antaranya sop singkong, bakso, ayam lalapan, ikan bakar, warung kopi, dan sejumlah kuliner lainnya.
Menariknya, di Pantai Seraya ini masyarakat dapat langsung memeroleh ikan segar yang masih hidup, sehingga mutu kesegarannya sangat terjamin.",Wisata Bahari,Kota Balikpapan,4.4,Pantai,5000,Pantai Seraya.png
39,Pantai Batu - Batu Banua Patra,"Pantai ini menyuguhkan keindahan kontras dari warna pasir dan lautannya.  Tampilan pasir yang putih cemerlang dan halus, dan dipenuhi dengan bebatuan alam yang tersusun sampai membentuk pulau dipinggir Pantai. Bebatu yang terbentuk secara alami ini bisa dijadikan spot menarik untuk diabadikan.",Wisata Bahari,Kota Balikpapan,4.5,Pantai,5000,Pantai Batu-Batu Banua Patra.png
40,Pantai Nirmala / SMACLY,"Pantai Nirmala yang berlokasi di Kelurahan Lamaru, Kecamatan Balikpapan Timur, Kota Balikpapan, Provinsi Kalimantan Timur. Fasilitas dan fitur di Pantai Nirmala sudah melimpah sehingga ramai pengunjung. Pantai Nirmala cocok buat semua, bagi warga Kota Balikpapan maupun luar Kota Balikpapan.",Wisata Bahari,Kota Balikpapan,4.5,Pantai,5000,Pantai Nirmala/Smacly.png
41,Pantai Damba Enggang,"Pantai Wisata Damba Enggang Borneo terletak di kawasan pesisir Stal Kuda atau lebih tepatnya di Jalan Jenderal Sudirman, Stal Kuda, Kelurahan Gunung Bahagia. Di Pantai tersebut pengunjung akan disuguhkan dengan pemandangan elok.
Dominasi batu karang buatan yang ditumbuhi pohon Mangrove jenis api-api semakin sedap ketika dipandang mata. Di sore hari sunset terlihat binar. ada banyak spesies terumbu karang seperti terumbu karang darah, terumbu karang otak, terumbu karang tulang, terumbu karang payung dan juga ada ikan clownfish atau ikan nemo.",Wisata Bahari,Kota Balikpapan,4.5,Pantai,5000,Pantai Damba Enggang.png
42,Tugu Makam Jepang,"Di Monumen ini terdapat satu lubang kuburan massal bagi 300 tentara Jepang. Selain itu,  terdapat juga beberapa gazebo bertuliskan bahasa Jepang. Monumen ini sebagai pengingat sejarah pada masyarakat untuk kepentingan pendidikan dan wisata.
Selain menyimpan peristiwa bersejarah, musium ini juga menjadi objek wisata di Kota Balikpapan yang dapat dimanfaatkan untuk berlibur bersama keluarga dan teman.",Wisata Sejarah,Kota Balikpapan,4.1,Sejarah,Gratis,Tugu Makam Jepang.png
43,Tugu Australia,"Tugu Australia ini sebagai tanda bahwa di areal Tugu dulunya terdapat makam dari 225 tentara Australia yang membantu pembebasan Kota Tarakan dari kolonialisme Jepang. Namun pada akhirnya semua makam dari tentara Australia tersebut dipindahkan ke negaranya Australia. Di Tugu Australia ini juga terdapat perjanjian yang isinya tentang perjuangan yang gagah berani tentara Australia dari divisi angkatan darat, laut dan udara yang membantu mengalahkan tentara Jepang di Kota Tarakan.",Wisata Sejarah,Kota Balikpapan,4.3,Sejarah,Gratis,Tugu Australia.png
44,Museum Kodam VI Mulawarman,"Museum Kodam VI/Mulawarman adalah sebuah kawasan konservasi milik TNI AD. Museum ini menyediakan informasi sejarah mengenai kota Balikpapan, seperti beberapa peralatan perang yang pernah dipakai, foto-foto kota Balikpapan tempo dulu, dan beberapa benda berharga di bidang militer.",Wisata Sejarah,Kota Balikpapan,4.4,Sejarah,Gratis,Museum Kodam Mulawarman.png
45,Monumen Mathilda,Monumen Mathilda ini dibangun karena sebuah peristiwa bersejarah yang ada di Balikpapan yaitu mengenai pengeboran minyak yang cukup menghebohkan pada saat itu. pengeboran tersebut terjadi pada tahun 1897. Ini merupakan pengeboran yang besar yang pertama kali terjadi di Balikpapan.,Wisata Sejarah,Kota Balikpapan,4.3,Sejarah,Gratis,Monumen Mathilda.png
46,Meriam Jepang," Di Kabupaten Penajam Paser Utara (PPU), terdapat meriam legendaris peninggalan tentara Jepang. Meriam tersebut kini dijadikan objek wisata ataupun tempat berswafoto anak muda. Pada zaman pendudukan Jepang, meriam itu berfungsi sebagai benteng pertahanan di wilayah Penajam (dulu Balikpapan Seberang). Moncong meriam itu mengarah ke laut Balikpapan. Bertujuan untuk mengganggu kapal-kapal di laut Balikpapan pada masanya.",Wisata Sejarah,Kota Balikpapan,4.4,Sejarah,Gratis,Meriam Jepang.png
47,Rumah Dahor Heritage,"Dahor Heritage adalah rumah panggung yang menjadi salah satu cagar budaya yang terletak di jalan Letjen Suprapto kota Balikpapan. Rumah ini menjadi bagian dari kompleks perumahan yang dikelola langsung oleh Pertamina karena menjadi saksi bisu cerita para pekerja kilang minyak pada masa kolonial Belanda. Dimana, kemudian rumah antik ini dijadikan sebagai Museum ataupun perpustakaan. Menjadi salah satu wisata edukasi yang menarik, rumah ini ramai dikunjungi wisatawan.",Wisata Sejarah,Kota Balikpapan,4.4,Sejarah,Gratis,Rumah Dahor.png
48,Meriam Jepang Sidodadi,"Meriam  jepang ini  merupakan  peninggalan  Kaigun,  Angkatan  Laut  Jepang pada masa PD II yang dilindungi oleh Undang-Undang. Meriam Jepang ini dulunya digunakan sebagai senjata pertahanan pihak jepang terhadap pihak belanda dalam merebutkan wilayah sumur minyak yang berada di kota balikpapan.  Meriam ini juga menggambarkan bahwa Kota Balikpapan pada saat Perang Dunia II merupakan tempat yang strategis untuk pertahanan.",Wisata Sejarah,Kota Balikpapan,4.3,Sejarah,Gratis,Meriam Jepang Sidodadi.png
49,Tugu Peringatan Perdamaian Indonesia - Jepang - Australia,"Tugu Perdamaian Jepang, Australia dan Indonesia adalah sebuah situs cagar budaya bersejarah yang ada di Kota Balikpapan dan merupakan salah satu situs yang menjadi saksi sejarah perjuangan kemerdekaan Indonesia pada Perang Dunia II 1945.
Lokasi Tugu Perdamaian Jepang, Australia dan Indonesia ini sendiri berada di pinggir jalan poros Balikpapan menuju Samarinda. Tepatnya beberapa meter dari pagar proyek infrastruktur nasional jalan Tol Balikpapan Samarinda di Jalan Soekarno Hatta km 13 Balikpapan.  tempat ini dulunya merupakan lokasi peristirahatan tentara Jepang saat ingin melarikan diri ke Samarinda dari kepungan tentara sekutu pada Perang Dunia II 1945 di Balikpapan.",Wisata Sejarah,Kota Balikpapan,4.4,Sejarah,Gratis,Tuguh Peringatan.png
50,Tugu Peringatan Demostrasi Rakyat Balikpapan Karang Anyar,"Tugu Peringatan Demonstrasi 13 November 1945 di Kota Balikpapan Kalimantan Timur telah berpindah tempat.
Biasanya berada di dekat pertigaan lampu merah Karang Anyar Balikpapan atau dekat proyek kilang minyak, kini sudah dipindahkan ke Balai Gembira Balikpapan, Kalimantan Timur. 
Lokasinya tidak jauh dari tempat semula. ",Wisata Sejarah,Kota Balikpapan,4,Sejarah,Gratis,Tugu Peringatan 1.png
51,Pasar Inpres Kebun Sayur,"Sekarang Pasar Inpres Kebun Sayur adalah salah satu destinasi wisata belanja di Balikpapan yang banyak dikunjungi wisatawan domestik maupun mancanegara. Di sini kita bisa memborong kalung, tas, baju, dompet, gelang, ikat kepala dari manik-manik, perisai, gantungan kunci, dan lain-lain. Tersedia beragam kaos bertuliskan Balikpapan dan Kalimantan Timur. Tak lupa, kita bisa menemukan kain-kain tenun, maupun kain motif untuk dijadikan pakaian di Pasar ini. Harganya mulai dari puluhan ribu hingga jutaan rupiah.",Wisata Belanja,Kota Balikpapan,4.4,Pasar,Gratis,Pasar Inpres.png
52,Plaza Balikpapan,"Plaza Balikpapan adalah mal perbelanjaan pertama di Balikpapan, Kalimantan Timur yang didirikan pada tahun 1992. Mal ini terdiri dari 3 lantai. Plaza Balikpapan merupakan mal keluarga yang berkonsep menyediakan seluruh kebutuhan keluarga dalam satu tempat.",Wisata Belanja,Kota Balikpapan,4.5,Mall,2000,Plaza Balikpapan.png
53,Balikpapan Super Blok,"Balikpapan Super Block (BSB) beralamat di Jl. Jend. Sudirman (Jalan Jend.Sudirman) Balikpapan Kalimantan Timur. Balikpapan Superblock merupakan anak perusahaan dari PAM Group yang bergerak dibidang properti di gerbang Kalimantan Timur, Kota Balikpapan. Sebuah konsep yang memberikan Fasilitas beragam dan komersil, Mulai dari, supermarket, shopping center, sekolah bertaraf internasional, hunian keluarga eksklusif, Perhotelan Ekslusif, food center, tempat rekreasi, sport center, Klinik Kesehatan hingga entertainment yang saling terintegrasi dan mampu memudahkan dalam melakukan aktifitas di kawasan Balikpapan Superblock.",Wisata Belanja,Kota Balikpapan,4.6,Mall,2000,BSB.png
