Id_wisata,Nama Wisata,Deskripsi,Jenis Wisata,Lokasi,Ratings,TAG,Harga Tiket
26,MASJID ISTIQOMAH,"Mesjid Itiqomah memiliki daya tarik tersendiri Antara lain studio radio dakwah IDC FM, perpustakaan, guest house hingga pusat pendidikan agama Islam. Masjid ini terletak sangat strategis yaitu hanya beberapa meter dari Lapangan Merdeka yang menjadi salah satu pusat kegiatan masyarakat Balikpapan. Masjid ini juga dikelilingi lokasi wisata menarik seperti Pantai Kemala, Pantai Kilang Mandiri, dan Tugu Australia.",WISATA RELIGI,Kota Balikpapan,4.9,Tempat Ibadah,Gratis
27,KLENTENG GUANG DE MIAO,"Kelenteng Guang De Miao terletak di Jl. Bukit Niaga, Klandasan Ilir, Balikpapan Selatan, atau lebih mudahnya terletak di daerah Pasar Baru Balikpapan. Kelenteng Guang De Miao sendiri dapat dikatakan sangat bersejarah, kelenteng tersebut sudah berdiri pada tahun 1915, yang mana saat ini sudah berusia 106 tahun. ",WISATA RELIGI,Kota Balikpapan,4.5,Tempat Ibadah,Gratis
28,PONDOK PESANTREN HIDAYATULLAH,"Hidayatullah awalnya sebuah pondok pesantren yang berdiri di atas lahan wakaf seluas 120 hektar di Gunung Tembak, Balikpapan, Kalimantan Timur. Hidayatullah ini didirikan oleh Ust Abdullah Said ",WISATA RELIGI,Kota Balikpapan,4.5,Tempat Ibadah,Gratis
29,VIHARA EKA DHARMA MANGGALA,"Wisata religi di Vihara Eka Dharma Manggala Kendari, bisa melihat panorama Teluk Kendari dari ketinggian.
Dari tempat peribadatan umat Budha ini, dapat saksikan Teluk Kendari yang membentang luas dengan pemandangan aktivitas kapal yang melintas.
Bangunan Vihara itu berhadapan langsung ke Teluk Kendari.",WISATA RELIGI,Kota Balikpapan,4.8,Tempat Ibadah,Gratis
30,VIHARA BUDDHA MAITREYA,"Berada di lantai III dengan ukuran 96 x 38 meter, merupakan gedung Baktisala Maitreya sekaligus ruang bakti puja utama yang berkapasitas 2.500 orang. Saat Anda melihat Pratima Buddha Maitreya setinggi 6,8 meter yang penuh tawa ria, terasa seisi ruangan penuh dengan hawa kedamaian, kebahagiaan, dan kesukacitaan, serta akan merasakan betapa manusia itu amat kecil dan papa dihadapan Buddha Maitreya yang Maha Suci dan Sempurna.",WISATA RELIGI,Kota Balikpapan,4.8,Tempat Ibadah,Gratis
31,MASJID CENG HO,"Keberadaan Masjid Muhammad Cheng Hoo yang tepat berada di pintu masuk Pantai Lamaru , tanpa disadari kehadirannya dianggap menjadi destinasi wisata religi. Konsep design yang unik, banyak dijadikan spot selfie oleh warga, baik selepas menunaikan salat maupun saat akan berkunjung ke Pantai Lamaru. Dengan desain yang bagus, dengan konsep China, sehingga dapat di katakan mesjid ini  menjadi salah satu destinasi tambahan wisata religi yang terdapat di Kota Balikpapan",WISATA RELIGI,Kota Balikpapan,4.8,Tempat Ibadah,Gratis
32,GEREJA KATOLIK SANTA MARIA,"Gereja Katolik Santa Maria merupakan salah satu gereja Katolik di Kota Balikpapan. Gereja bagi persekutuan jemaat katolik ini menyediakan tempat ibadah untuk ibadah rutin minggu pagi - sore, ibadah misa, Paskah, kamis putih, baptis (pembaptisan), Natal hingga Jumat Agung.
Gereja Katolik Santa Maria memiliki ciri khas bangunan yang sejuk dengan sejarah gereja katolik di Kota Balikpapan yang kuat sehingga menjadi tempat ibadah bagi ummat katolik Kota Balikpapan.",WISATA RELIGI,Kota Balikpapan,4.6,Tempat Ibadah,Gratis
33,PANTAI MANGGAR SEGARA SARI,"Pantai Manggar Segara Sari memilikii banyak daya tarik dengan estimasi keindahan hamparan laut beserta pasir putihnya membuat pengunjung menjadi betah untuk berlama-lama di tempat ini. Oleh karenanya jika waktu liburan tiba maka bisa dipastikan jika ribuan orang berbondong-bondong untuk berlibur kesana.
Selain itu, daya tarik lain yang dimiliki oleh Pantai Segara Sari juga cukup banyak sehingga sangat direkomendasikan bagi Anda untuk menyempatkan waktu pergi ke tempat ini. Juga dengan pemandangan air laut yang jernih dan bersih. Gelombangnya pun bisa dikatakan sedang-sedang saja jadi tidak membahayakan jika didekati. Dengan begitu semua pengunjungnya bisa merasakan sensasi bermain air laut di bibir pantai.",WISATA BAHARI,Kota Balikpapan,4.2,Pantai,7000
34,PANTAI LAMARU,"Pantai initerletak di Desa Teritip, tepatnya di Jalan Mulawarman, Lamaru ini ternyata memiliki pesona yang sangat mengagumkan. Pantai Lamaru merupakan salah satu pantai yang landai sehingga anda pun akan lebih nyaman untuk berwisata ke pantai satu ini. Tak hanya itu saja, pasir putih yang terdapat di pantai satu ini pun juga dapat menjadi daya tarik tersendiri bagi wisatawan. Sehingga dengan adanya bibir pantai yang luas tersebut akan bisa dimanfaatkan untuk berbagai aktifitas pantai yang lain. Sebut saja seperi untuk bermain voli pantai, bermain bola ataupun bermain pasir dan membuat istana pasir. Pastinya hal tersebut akan membuat liburan anda bersama keluarga semakin berkesan dengan berwisata di Pantai Lamaru ini.",WISATA BAHARI,Kota Balikpapan,4.4,Pantai,20000
35,PANTAI MONPERA,"Pantai monpera adalah salah satu pantai yang cukup populer di wilayah Balikpapan. Pantai ini memiliki daya tarik dan cerita tersendiri bagi masyarakat di Balikpapan. Di pantai ini terdapat tugu peringatan yang biasa disebut Monumen Perjuangan Rakyat (Monpera). Pantai Monpera menawarkan pemandangan berupa hamparan pasir pantai yang berwarna kecoklatan, berpadu dengan indahnya panorama alam sekitar pantai.",WISATA BAHARI,Kota Balikpapan,4.3,Pantai,3000
36,PANTAI KEMALA,"Pantai dengan panorama dekat pusat kota, yang memiliki air laut warna biru dan terlihat  fresh. Disamping itu, ada panorama berbentuk beberapa kapal tanker besar yang berlalu lalang membawa muatan. Anda juga dapat menyaksikan kapal tanker itu bila kapal itu sedang melalui lautan walaupun anda hanya  di teritori pantai.",WISATA BAHARI,Kota Balikpapan,4.3,Pantai,5000
37,PANTAI KILANG PERTAMINA,"Pantai Kilang Pertamina terletak di Jalan Jenderal Sudirman. Pemandangannya yang indah menjadi daya tarik utama pantai ini.  Begitu memasuki kawasan pantai, maka akan disambut dengan deretan payung etnik dan bean bag berwarna-warni yang berjajar rapi di atas pasir putih. Ketika hari beranjak senja, lampu-lampu hias di pantai akan mulai dinyalakan. Suasana pantai pun menjadi semakin romantis dan menyenangkan. Sambil menikmati semilir angin laut dan debur ombak sambil menyantap aneka kuliner yang dijual di pantai ini. Fasilitas di pantai ini juga sudah cukup lengkap, mulai dari toilet umum sampai lahan parkir.",WISATA BAHARI,Kota Balikpapan,4.5,Pantai,5000
38,PANTAI SERAYA,"Pantai seraya terletak di RT 28, Kelurahan Sepinggan Raya, Kecamatan Balikpapan Selatan. Fasilitas yang ada di kawasan wisata Pantai Seraya ini tersedia puluhan perahu kayu yang dapat disewa oleh pengunjung. Selain itu, di kawasan pantai seraya ini juga tersedia sejumlah kuliner.
Di antaranya sop singkong, bakso, ayam lalapan, ikan bakar, warung kopi, dan sejumlah kuliner lainnya.
Menariknya, di Pantai Seraya ini masyarakat dapat langsung memeroleh ikan segar yang masih hidup, sehingga mutu kesegarannya sangat terjamin.",WISATA BAHARI,Kota Balikpapan,4.4,Pantai,5000
39,PANTAI BATU-BATU BANUA PATRA,"Pantai ini menyuguhkan keindahan kontras dari warna pasir dan lautannya.  Tampilan pasir yang putih cemerlang dan halus, dan dipenuhi dengan bebatuan alam yang tersusun sampai membentuk pulau dipinggir pantai. Bebatu yang terbentuk secara alami ini bisa dijadikan spot menarik untuk diabadikan.",WISATA BAHARI,Kota Balikpapan,4.5,Pantai,5000
40,PANTAI NIRMALA/SMACLY,"Pantai Nirmala yang berlokasi di Kelurahan Lamaru, Kecamatan Balikpapan Timur, Kota Balikpapan, Provinsi Kalimantan Timur. Fasilitas dan fitur di Pantai Nirmala sudah melimpah sehingga ramai pengunjung. Pantai Nirmala cocok buat semua, bagi warga Kota Balikpapan maupun luar Kota Balikpapan.",WISATA BAHARI,Kota Balikpapan,4.5,Pantai,5000
41,PANTAI DAMBA ENGGANG,"Pantai Wisata Damba Enggang Borneo terletak di kawasan pesisir Stal Kuda atau lebih tepatnya di Jalan Jenderal Sudirman, Stal Kuda, Kelurahan Gunung Bahagia. Di pantai tersebut pengunjung akan disuguhkan dengan pemandangan elok.
Dominasi batu karang buatan yang ditumbuhi pohon mangrove jenis api-api semakin sedap ketika dipandang mata. Di sore hari sunset terlihat binar. ada banyak spesies terumbu karang seperti terumbu karang darah, terumbu karang otak, terumbu karang tulang, terumbu karang payung dan juga ada ikan clownfish atau ikan nemo.",WISATA BAHARI,Kota Balikpapan,4.5,Pantai,5000
42,TUGU MAKAM JEPANG,"Di monumen ini terdapat satu lubang kuburan massal bagi 300 tentara Jepang. Selain itu,  terdapat juga beberapa gazebo bertuliskan bahasa Jepang. Monumen ini sebagai pengingat sejarah pada masyarakat untuk kepentingan pendidikan dan wisata.
Selain menyimpan peristiwa bersejarah, musium ini juga menjadi objek wisata di Kota Balikpapan yang dapat dimanfaatkan untuk berlibur bersama keluarga dan teman.",WISATA SEJARAH,Kota Balikpapan,4.1,Sejarah,Gratis
43,TUGU AUSTRALIA,"Tugu Australia ini sebagai tanda bahwa di areal tugu dulunya terdapat makam dari 225 tentara Australia yang membantu pembebasan Kota Tarakan dari kolonialisme Jepang. Namun pada akhirnya semua makam dari tentara Australia tersebut dipindahkan ke negaranya Australia. Di Tugu Australia ini juga terdapat perjanjian yang isinya tentang perjuangan yang gagah berani tentara Australia dari divisi angkatan darat, laut dan udara yang membantu mengalahkan tentara Jepang di Kota Tarakan.",WISATA SEJARAH,Kota Balikpapan,4.3,Sejarah,Gratis
44,MUSEUM KODAM VI MULAWARMAN,"Museum Kodam VI/Mulawarman adalah sebuah kawasan konservasi milik TNI AD. Museum ini menyediakan informasi sejarah mengenai kota Balikpapan, seperti beberapa peralatan perang yang pernah dipakai, foto-foto kota Balikpapan tempo dulu, dan beberapa benda berharga di bidang militer.",WISATA SEJARAH,Kota Balikpapan,4.4,Sejarah,Gratis
45,MONUMEN MATHILDA,Monumen Mathilda ini dibangun karena sebuah peristiwa bersejarah yang ada di Balikpapan yaitu mengenai pengeboran minyak yang cukup menghebohkan pada saat itu. pengeboran tersebut terjadi pada tahun 1897. Ini merupakan pengeboran yang besar yang pertama kali terjadi di Balikpapan.,WISATA SEJARAH,Kota Balikpapan,4.3,Sejarah,Gratis
46,MERIAM JEPANG," Di Kabupaten Penajam Paser Utara (PPU), terdapat meriam legendaris peninggalan tentara Jepang. Meriam tersebut kini dijadikan objek wisata ataupun tempat berswafoto anak muda. Pada zaman pendudukan Jepang, meriam itu berfungsi sebagai benteng pertahanan di wilayah Penajam (dulu Balikpapan Seberang). Moncong meriam itu mengarah ke laut Balikpapan. Bertujuan untuk mengganggu kapal-kapal di laut Balikpapan pada masanya.",WISATA SEJARAH,Kota Balikpapan,4.4,Sejarah,Gratis
47,RUMAH DAHOR HERITAGE,"Dahor Heritage adalah rumah panggung yang menjadi salah satu cagar budaya yang terletak di jalan Letjen Suprapto kota Balikpapan. Rumah ini menjadi bagian dari kompleks perumahan yang dikelola langsung oleh Pertamina karena menjadi saksi bisu cerita para pekerja kilang minyak pada masa kolonial Belanda. Dimana, kemudian rumah antik ini dijadikan sebagai museum ataupun perpustakaan. Menjadi salah satu wisata edukasi yang menarik, rumah ini ramai dikunjungi wisatawan.",WISATA SEJARAH,Kota Balikpapan,4.4,Sejarah,Gratis
48,MERIAM JEPANG SIDODADI,"Meriam  jepang ini  merupakan  peninggalan  Kaigun,  Angkatan  Laut  Jepang pada masa PD II yang dilindungi oleh Undang-Undang. Meriam Jepang ini dulunya digunakan sebagai senjata pertahanan pihak jepang terhadap pihak belanda dalam merebutkan wilayah sumur minyak yang berada di kota balikpapan.  Meriam ini juga menggambarkan bahwa Kota Balikpapan pada saat Perang Dunia II merupakan tempat yang strategis untuk pertahanan.",WISATA SEJARAH,Kota Balikpapan,4.3,Sejarah,Gratis
49,TUGUH PERINGATAN PERDAMAIAN INDONESIA - JEPANG - AUSTRALIA,"Tugu Perdamaian Jepang, Australia dan Indonesia adalah sebuah situs cagar budaya bersejarah yang ada di Kota Balikpapan dan merupakan salah satu situs yang menjadi saksi sejarah perjuangan kemerdekaan Indonesia pada Perang Dunia II 1945.
Lokasi Tugu Perdamaian Jepang, Australia dan Indonesia ini sendiri berada di pinggir jalan poros Balikpapan menuju Samarinda. Tepatnya beberapa meter dari pagar proyek infrastruktur nasional jalan Tol Balikpapan Samarinda di Jalan Soekarno Hatta km 13 Balikpapan.  tempat ini dulunya merupakan lokasi peristirahatan tentara Jepang saat ingin melarikan diri ke Samarinda dari kepungan tentara sekutu pada Perang Dunia II 1945 di Balikpapan.",WISATA SEJARAH,Kota Balikpapan,4.4,Sejarah,Gratis
50,TUGU PERINGATAN DEMONTRASI RAKYAT BALIKPAPAN KARANG ANYER,"Tugu Peringatan Demonstrasi 13 November 1945 di Kota Balikpapan Kalimantan Timur telah berpindah tempat.
Biasanya berada di dekat pertigaan lampu merah Karang Anyar Balikpapan atau dekat proyek kilang minyak, kini sudah dipindahkan ke Balai Gembira Balikpapan, Kalimantan Timur. 
Lokasinya tidak jauh dari tempat semula. ",WISATA SEJARAH,Kota Balikpapan,4,Sejarah,Gratis
51,PASAR INPRES KEBUN SAYUR,"Sekarang Pasar Inpres Kebun Sayur adalah salah satu destinasi wisata belanja di Balikpapan yang banyak dikunjungi wisatawan domestik maupun mancanegara. Di sini kita bisa memborong kalung, tas, baju, dompet, gelang, ikat kepala dari manik-manik, perisai, gantungan kunci, dan lain-lain. Tersedia beragam kaos bertuliskan Balikpapan dan Kalimantan Timur. Tak lupa, kita bisa menemukan kain-kain tenun, maupun kain motif untuk dijadikan pakaian di pasar ini. Harganya mulai dari puluhan ribu hingga jutaan rupiah.",WISATA BELANJA,Kota Balikpapan,4.4,Pasar,Gratis
52,PLAZA BALIKPAPAN,"Plaza Balikpapan adalah mal perbelanjaan pertama di Balikpapan, Kalimantan Timur yang didirikan pada tahun 1992. Mal ini terdiri dari 3 lantai. Plaza Balikpapan merupakan mal keluarga yang berkonsep menyediakan seluruh kebutuhan keluarga dalam satu tempat.",WISATA BELANJA,Kota Balikpapan,4.5,Mall,2000
53,BALIKPAPAN SUPER BLOK,"Balikpapan Super Block (BSB) beralamat di Jl. Jend. Sudirman (Jalan Jend.Sudirman) Balikpapan Kalimantan Timur. Balikpapan Superblock merupakan anak perusahaan dari PAM Group yang bergerak dibidang properti di gerbang Kalimantan Timur, Kota Balikpapan. Sebuah konsep yang memberikan Fasilitas beragam dan komersil, Mulai dari, supermarket, shopping center, sekolah bertaraf internasional, hunian keluarga eksklusif, Perhotelan Ekslusif, food center, tempat rekreasi, sport center, Klinik Kesehatan hingga entertainment yang saling terintegrasi dan mampu memudahkan dalam melakukan aktifitas di kawasan Balikpapan Superblock.",WISATA BELANJA,Kota Balikpapan,4.6,Mall,2000
54,ROTI TIAM,"Beralamat di Jl. MT Haryono No.83, Gn. Bahagia, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114.  Terdapat menu makanan dan minuman dengan berbagai rasa dan harga yang juga bervariasi ",WISATA BELANJA,Kota Balikpapan,4.4,Oleh-Oleh,Gratis
55,SALAK KILO,"Jalan-jalan ke Balikpapan belum pas rasanya bila belum menyicipi kelezatan Cake salak Kilo. Buah Salak Balikpapan yang khas menjadikan cake ini begitu unik rasanya.  House of Serai Wangi sebagai dapur produksi dari aneka olahan salak sangat menyambut setiap tamu yang ingin melihat dan belajar proses produksi dari buah salak. Kunjungan-kunjungan dari beberapa instansi, dharma wanita, dan sekolah telah diterima di House of Serai Wangi. Semua ini sebagai bentuk kepedulian dan menularkan ilmu kepada orang lain",WISATA BELANJA,Kota Balikpapan,4.7,Oleh-Oleh,Gratis
56,KOMPLEX RUKO BANDAR,Ruko Bandar merupakan kawasan café dan restoran yang terletak di pinggir pantai dan masih berada di pusat kota Balikpapan,WISATA KULINER,Kota Balikpapan,4.5,Restoran,Gratis
